danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.812,0.516,9,-6.963,1,0.224,0.000369,1.09e-05,0.0991,0.633,127.498,audio_features,0LSLM0zuWRkEYemF7JcfEE,spotify:track:0LSLM0zuWRkEYemF7JcfEE,https://api.spotify.com/v1/tracks/0LSLM0zuWRkEYemF7JcfEE,https://api.spotify.com/v1/audio-analysis/0LSLM0zuWRkEYemF7JcfEE,284280,4
0.605,0.724,1,-7.729,0,0.0441,0.121,0.431,0.108,0.898,89.403,audio_features,0a0EYuSVqeVqV8kjN9bFYC,spotify:track:0a0EYuSVqeVqV8kjN9bFYC,https://api.spotify.com/v1/tracks/0a0EYuSVqeVqV8kjN9bFYC,https://api.spotify.com/v1/audio-analysis/0a0EYuSVqeVqV8kjN9bFYC,226613,4
0.849,0.825,2,-5.504,1,0.0498,0.0423,0.0366,0.146,0.567,126.071,audio_features,1Tk7GuYDspyvq16jy2Tpwl,spotify:track:1Tk7GuYDspyvq16jy2Tpwl,https://api.spotify.com/v1/tracks/1Tk7GuYDspyvq16jy2Tpwl,https://api.spotify.com/v1/audio-analysis/1Tk7GuYDspyvq16jy2Tpwl,140952,4
0.526,0.982,7,-8.123,1,0.0496,0.00138,0.476,0.642,0.646,133.893,audio_features,2hTx8adLNJBwhLsavI1Xvr,spotify:track:2hTx8adLNJBwhLsavI1Xvr,https://api.spotify.com/v1/tracks/2hTx8adLNJBwhLsavI1Xvr,https://api.spotify.com/v1/audio-analysis/2hTx8adLNJBwhLsavI1Xvr,205760,4
0.596,0.928,9,-6.623,1,0.0635,0.0561,0.736,0.22,0.563,126.044,audio_features,3eC5zOfHgLYK2FYv8ObvMC,spotify:track:3eC5zOfHgLYK2FYv8ObvMC,https://api.spotify.com/v1/tracks/3eC5zOfHgLYK2FYv8ObvMC,https://api.spotify.com/v1/audio-analysis/3eC5zOfHgLYK2FYv8ObvMC,153333,4
0.661,0.619,6,-11.348,1,0.0757,0.543,0.0,0.0883,0.952,181.967,audio_features,2tS0iNc2QTb3ADhlAydiDa,spotify:track:2tS0iNc2QTb3ADhlAydiDa,https://api.spotify.com/v1/tracks/2tS0iNc2QTb3ADhlAydiDa,https://api.spotify.com/v1/audio-analysis/2tS0iNc2QTb3ADhlAydiDa,227440,4
0.369,0.992,0,-2.902,1,0.137,0.112,0.0,0.317,0.231,177.195,audio_features,57Qo5vyAdfZv9qMK8xUb0k,spotify:track:57Qo5vyAdfZv9qMK8xUb0k,https://api.spotify.com/v1/tracks/57Qo5vyAdfZv9qMK8xUb0k,https://api.spotify.com/v1/audio-analysis/57Qo5vyAdfZv9qMK8xUb0k,143729,4
0.474,1.0,8,-1.541,1,0.146,0.000206,0.877,0.0521,0.281,160.01,audio_features,2BGMLlSNVlsRFQcaQCbNiC,spotify:track:2BGMLlSNVlsRFQcaQCbNiC,https://api.spotify.com/v1/tracks/2BGMLlSNVlsRFQcaQCbNiC,https://api.spotify.com/v1/audio-analysis/2BGMLlSNVlsRFQcaQCbNiC,188889,4
0.63,0.782,8,-5.44,0,0.132,0.0828,0.0,0.034,0.418,140.144,audio_features,36Hwcla06Q5BCr59CL0sBp,spotify:track:36Hwcla06Q5BCr59CL0sBp,https://api.spotify.com/v1/tracks/36Hwcla06Q5BCr59CL0sBp,https://api.spotify.com/v1/audio-analysis/36Hwcla06Q5BCr59CL0sBp,247947,4
0.69,0.984,9,-6.391,0,0.219,0.00706,0.833,0.196,0.205,149.986,audio_features,1hvuvBd32cZBhk7QIfvpR4,spotify:track:1hvuvBd32cZBhk7QIfvpR4,https://api.spotify.com/v1/tracks/1hvuvBd32cZBhk7QIfvpR4,https://api.spotify.com/v1/audio-analysis/1hvuvBd32cZBhk7QIfvpR4,172800,4
0.538,0.87,8,-7.739,0,0.0533,0.000123,8.56e-06,0.155,0.541,145.02,audio_features,1XK0SrwnujLMZv22WjVQU9,spotify:track:1XK0SrwnujLMZv22WjVQU9,https://api.spotify.com/v1/tracks/1XK0SrwnujLMZv22WjVQU9,https://api.spotify.com/v1/audio-analysis/1XK0SrwnujLMZv22WjVQU9,177627,4
0.885,0.844,10,-9.225,0,0.0733,0.0147,4.49e-06,0.0494,0.715,124.602,audio_features,21qnJAMtzC6S5SESuqQLEK,spotify:track:21qnJAMtzC6S5SESuqQLEK,https://api.spotify.com/v1/tracks/21qnJAMtzC6S5SESuqQLEK,https://api.spotify.com/v1/audio-analysis/21qnJAMtzC6S5SESuqQLEK,320307,4
0.688,0.756,3,-4.409,1,0.106,0.00261,0.415,0.124,0.209,119.66,audio_features,5DeE7qCwbtuJfAxi2dzKb0,spotify:track:5DeE7qCwbtuJfAxi2dzKb0,https://api.spotify.com/v1/tracks/5DeE7qCwbtuJfAxi2dzKb0,https://api.spotify.com/v1/audio-analysis/5DeE7qCwbtuJfAxi2dzKb0,110000,4
0.73,0.892,11,-3.831,0,0.219,0.195,0.862,0.279,0.59,121.022,audio_features,5kr9HU28PSpkmQZ6z9Z1Mx,spotify:track:5kr9HU28PSpkmQZ6z9Z1Mx,https://api.spotify.com/v1/tracks/5kr9HU28PSpkmQZ6z9Z1Mx,https://api.spotify.com/v1/audio-analysis/5kr9HU28PSpkmQZ6z9Z1Mx,130041,4
0.535,0.809,2,-3.382,0,0.0385,0.000232,0.25,0.106,0.0662,127.027,audio_features,3OgU43E7rPo3u9fNEIpdWi,spotify:track:3OgU43E7rPo3u9fNEIpdWi,https://api.spotify.com/v1/tracks/3OgU43E7rPo3u9fNEIpdWi,https://api.spotify.com/v1/audio-analysis/3OgU43E7rPo3u9fNEIpdWi,385413,4
0.52,0.545,11,-12.67,0,0.158,0.00494,0.285,0.464,0.233,121.78,audio_features,4IdiGMOzEYXOh2897XOV8i,spotify:track:4IdiGMOzEYXOh2897XOV8i,https://api.spotify.com/v1/tracks/4IdiGMOzEYXOh2897XOV8i,https://api.spotify.com/v1/audio-analysis/4IdiGMOzEYXOh2897XOV8i,329653,4
0.862,0.918,10,-7.325,0,0.108,0.0287,1.15e-06,0.0492,0.651,124.811,audio_features,0UAEHlFR79k9CJvknSGUNf,spotify:track:0UAEHlFR79k9CJvknSGUNf,https://api.spotify.com/v1/tracks/0UAEHlFR79k9CJvknSGUNf,https://api.spotify.com/v1/audio-analysis/0UAEHlFR79k9CJvknSGUNf,215040,4
